[2020-07-07 10:15:42.976991] Generating Gabor Filters...
[2020-07-07 10:15:42.986380] Generating Gabor Filters Done!
[2020-07-07 10:15:42.986408] Loading MNIST Data...
[2020-07-07 10:15:44.238532] Loading MNIST Data Done!
[2020-07-07 10:15:44.467573] Convoluting Images...
[2020-07-07 10:16:10.134552] Convoluting Images Done!
[2020-07-07 10:16:10.135134] Image Blocks and Gabor Images Capturing...
[2020-07-07 10:20:16.159930] Image Blocks and Gabor Images Capturing Done!
[2020-07-07 10:20:22.782658] Epoch : 0001 loss = 41.860973804
[2020-07-07 10:20:27.140759] Epoch : 0002 loss = 0.095866665
[2020-07-07 10:20:31.340543] Epoch : 0003 loss = 0.092295866
[2020-07-07 10:20:35.592044] Epoch : 0004 loss = 0.090569533
[2020-07-07 10:20:39.821700] Epoch : 0005 loss = 0.096706429
[2020-07-07 10:20:44.022792] Epoch : 0006 loss = 0.123863542
[2020-07-07 10:20:48.179286] Epoch : 0007 loss = 0.114242886
[2020-07-07 10:20:52.412875] Epoch : 0008 loss = 0.103548209
[2020-07-07 10:20:56.675703] Epoch : 0009 loss = 0.094000625
[2020-07-07 10:21:00.925038] Epoch : 0010 loss = 0.085730783
[2020-07-07 10:21:05.141669] Epoch : 0011 loss = 0.077768955
[2020-07-07 10:21:09.339290] Epoch : 0012 loss = 0.072238802
[2020-07-07 10:21:13.480671] Epoch : 0013 loss = 0.071872954
[2020-07-07 10:21:17.686864] Epoch : 0014 loss = 0.088309244
[2020-07-07 10:21:21.969021] Epoch : 0015 loss = 2525.424237268
[2020-07-07 10:21:26.170663] Epoch : 0016 loss = 0.565081036
[2020-07-07 10:21:30.411360] Epoch : 0017 loss = 0.261240988
[2020-07-07 10:21:34.615894] Epoch : 0018 loss = 0.241426534
[2020-07-07 10:21:38.867341] Epoch : 0019 loss = 4.924673045
[2020-07-07 10:21:43.056833] Epoch : 0020 loss = 13.790192117
[2020-07-07 10:21:47.252667] Epoch : 0021 loss = 12.908519643
